Taxkey,Address,Style,YearBld,Story,Units,FinSqft,Exterior,BedRms,FullBath,HalfBath,LotSqft,SaleDate,Sale $,Nbhd,Ald
231-1030-000,4539 N TEUTONIA AV,AP 1,1945,2.0,4,"3,500",Brick,8,1,0,"6,600",2014-04,"102,000",6691,1
245-2302-000,4080 N 21ST ST,AP 1,1953,2.0,4,"3,456",Brick,8,1,0,"3,780",2014-06,"79,500",6691,1
231-0912-000,2531 W VICTORY LA,AP 1,1951,2.0,4,"3,200",Brick,8,1,0,"6,480",2014-06,"102,000",6691,1
209-0361-000,4736 W EGGERT PL,AP 1,1956,1.0,4,"2,880",Brick,7,1,0,"9,600",2014-10,"144,900",6672,1
230-0398-000,3112 W GLENDALE AV,AP 2,1928,2.0,8,"6,807",Brick,12,1,0,"5,280",2014-02,"125,000",6690,1
205-0315-000,1981 W VILLARD AV,AP 2,1953,2.0,8,"4,434",Brick,8,1,0,"10,005",2014-10,"135,010",6640,1
250-0804-000,4031 N 61ST ST,AP 1,1955,2.0,4,"3,920",Brick,8,1,0,"9,620",2014-07,"145,000",6673,2
185-0520-000,9402 W SHERIDAN AV,AP 1,1959,2.0,4,"3,568",Brick,8,1,0,"9,600",2014-07,"109,000",6674,2
185-0541-000,9336 W BIRCH AV,AP 1,1959,2.0,4,"3,568",Brick,8,1,0,"9,440",2014-07,"145,000",6674,2
185-0542-000,9346 W BIRCH AV,AP 1,1959,2.0,4,"3,568",Brick,8,1,0,"12,500",2014-07,"145,000",6674,2
174-0505-000,5938 N 68TH ST,AP 1,1957,2.0,4,"3,416",Masonry / Frame,8,1,0,"9,600",2014-12,"96,000",6621,2
153-0313-000,7932 W BENDER AV,AP 1,1959,2.0,4,"3,382",Brick,8,1,0,"9,600",2014-12,"23,000",6620,2
177-0209-000,8834 W CARMEN AV,AP 1,1959,2.0,4,"3,382",Brick,8,1,0,"9,620",2014-02,"105,000",6674,2
177-0210-000,8906 W CARMEN AV,AP 1,1959,2.0,4,"3,382",Brick,8,1,0,"9,620",2014-02,"108,000",6674,2
213-0902-000,5143 N 76TH ST,AP 2,1970,2.0,11,"10,952",Brick,18,1,1,"14,200",2014-09,"350,000",6674,2
152-0618-100,8410 W LYNX AV,AP 3,1966,2.0,12,"10,774",Brick,24,1,0,"30,320",2014-08,"330,000",6870,2
355-0072-000,1862 N CAMBRIDGE AV,AP 1,1905,2.5,6,"8,835",Masonry / Frame,18,6,0,"5,250",2014-12,"665,000",6750,3
281-0982-000,3076 N PIERCE ST,AP 1,1911,2.0,4,"3,964",Brick,9,1,0,"5,400",2014-07,"245,000",6760,3
321-1902-000,2631 N HUMBOLDT BL,AP 1,1910,2.0,4,"3,958",Brick,8,1,0,"4,800",2014-03,"220,000",6760,3
360-0012-000,1655 N VAN BUREN ST,AP 1,1890,2.0,6,"3,873",Frame,6,6,0,"4,800",2014-07,"335,000",6750,3
355-0121-000,1508 E IRVING PL,AP 1,1890,2.0,4,"2,383",Frame,4,4,0,"3,246",2014-04,"215,000",6750,3
320-1007-100,2425 N OAKLAND AV,AP 3,1964,2.0,16,"10,108",Brick,16,1,0,"8,443",2014-08,"1,000,000",6872,3
