Taxkey,Project,Address,Style,YearBld,Story,Units,FinSqft,BedRms,FullBath,HalfBath,SaleDate,Sale $,Nbhd,Ald
359-1546-000,1522 ON THE LAKE CONDOMINIUMS,1522 N PROSPECT AV,HI RISE,2002,2.0,1,"4,941",3,2,0,2014-10,"1,475,000",5951,4
359-1476-000,1522 ON THE LAKE CONDOMINIUMS,1522 N PROSPECT AV,HI RISE,2002,1.0,1,"1,826",2,2,0,2014-05,"360,000",5951,4
359-1488-000,1522 ON THE LAKE CONDOMINIUMS,1522 N PROSPECT AV,HI RISE,2002,1.0,1,"1,826",2,2,0,2014-11,"380,000",5951,4
359-1514-000,1522 ON THE LAKE CONDOMINIUMS,1522 N PROSPECT AV,HI RISE,2002,1.0,1,"1,759",2,2,0,2014-10,"471,000",5951,4
359-1468-000,1522 ON THE LAKE CONDOMINIUMS,1522 N PROSPECT AV,HI RISE,2002,1.0,1,"1,571",2,2,0,2014-03,"305,000",5951,4
359-1498-000,1522 ON THE LAKE CONDOMINIUMS,1522 N PROSPECT AV,HI RISE,2002,1.0,1,"1,571",2,2,0,2014-10,"316,000",5951,4
359-1501-000,1522 ON THE LAKE CONDOMINIUMS,1522 N PROSPECT AV,HIGH RISE,2002,1.0,1,"1,491",2,2,0,2014-10,"257,000",5951,4
359-1525-000,1522 ON THE LAKE CONDOMINIUMS,1522 N PROSPECT AV,Hi Rise,2002,1.0,1,"1,491",2,2,0,2014-07,"290,000",5951,4
359-1531-000,1522 ON THE LAKE CONDOMINIUMS,1522 N PROSPECT AV,HI RISE,2002,1.0,1,"1,491",2,2,0,2014-04,"330,000",5951,4
360-1596-000,601 LOFTS,601 E OGDEN AV,APARTMENT,2006,1.0,1,"1,536",2,2,0,2014-01,"290,000",5662,4
360-1597-000,601 LOFTS,601 E OGDEN AV,APARTMENT,2006,1.0,1,"1,525",2,2,0,2014-06,"265,000",5662,4
360-1620-000,601 LOFTS,601 E OGDEN AV,APARTMENT,2006,1.0,1,"1,525",2,2,0,2014-11,"312,000",5662,4
360-1644-000,601 LOFTS,601 E OGDEN AV,APARTMENT,2006,1.0,1,"1,525",2,2,0,2014-10,"315,000",5662,4
360-1607-000,601 LOFTS,601 E OGDEN AV,APARTMENT,2006,1.0,1,"1,298",1,1,0,2014-10,"214,000",5662,4
360-1648-000,601 LOFTS,601 E OGDEN AV,APARTMENT,2006,1.0,1,"1,278",1,1,0,2014-12,"215,000",5662,4
360-1605-000,601 LOFTS,601 E OGDEN AV,APARTMENT,2006,1.0,1,"1,273",1,1,0,2014-04,"216,900",5662,4
360-1624-000,601 LOFTS,601 E OGDEN AV,APARTMENT,2006,1.0,1,"1,273",1,1,0,2014-03,"226,000",5662,4
360-1592-000,601 LOFTS,601 E OGDEN AV,APARTMENT,2006,1.0,1,"1,172",1,1,0,2014-12,"184,500",5662,4
360-1625-000,601 LOFTS,601 E OGDEN AV,APARTMENT,2006,1.0,1,"1,172",1,1,0,2014-06,"213,000",5662,4
360-1595-000,601 LOFTS,601 E OGDEN AV,APARTMENT,2006,1.0,1,"1,095",1,1,0,2014-04,"210,000",5662,4
360-1650-000,601 LOFTS,601 E OGDEN AV,APARTMENT,2006,1.0,1,957,1,1,0,2014-10,"169,000",5662,4
078-0158-000,ARBOR RIDGE,7968 N 107TH ST,APARTMENT,1999,1.0,1,"1,125",2,2,0,2014-04,"87,500",5103,9
078-0148-000,ARBOR RIDGE,7968 N 107TH ST,APARTMENT,1999,1.0,1,"1,089",2,2,0,2014-10,"79,000",5103,9
078-0154-000,ARBOR RIDGE,7968 N 107TH ST,APARTMENT,1999,1.0,1,"1,089",2,2,0,2014-07,"84,500",5103,9
078-0163-000,ARBOR RIDGE,7972 N 107TH ST,APARTMENT,1999,1.0,1,"1,089",2,2,0,2014-07,"83,000",5103,9
360-1311-000,ASTOR COURT AT EAST POINTE,1016 E OGDEN AV,TOWNHOUSE,1996,2.0,1,"1,902",3,2,2,2014-06,"600,000",5970,3
360-1572-000,ASTOR PLACE CONDOMINIUM,1663 N ASTOR ST,DUPLEX/OTHER,1885,2.0,1,"1,560",2,2,1,2014-02,"311,000",5660,3
280-1843-000,BARTLETT MANOR,3255 N BARTLETT AV,TRIPLEX,2003,1.0,1,"1,280",2,2,0,2014-07,"150,000",5710,3
466-1584-000,BAYVIEW COMMONS CONDOMINIUMS,2121 S KINNICKINNIC AV,Apartment  - Mix,2005,2.0,1,"1,402",2,2,0,2014-05,"166,000",5306,14
501-0503-000,BAYVIEW TERRACE,25258C S SHORE DR,HI-RISE,1965,1.0,1,"1,174",2,1,0,2014-03,"129,900",5293,14
501-0546-000,BAYVIEW TERRACE,252515D S SHORE DR,HI-RISE,1965,1.0,1,"1,174",2,1,0,2014-10,"219,900",5293,14
501-0564-100,BAYVIEW TERRACE,252518D S SHORE DR,HI-RISE,1965,1.0,1,"1,174",1,1,0,2014-09,"195,000",5293,14
501-0566-100,BAYVIEW TERRACE,252518F S SHORE DR,HI-RISE,1965,1.0,1,"1,174",2,1,0,2014-05,"249,900",5293,14
501-0599-110,BAYVIEW TERRACE,252524C S SHORE DR,HI-RISE,1965,1.0,1,"1,174",2,1,0,2014-12,"214,900",5293,14
501-0481-000,BAYVIEW TERRACE,25254E S SHORE DR,HI-RISE,1965,1.0,1,860,1,1,0,2014-04,"115,000",5293,14
501-0550-110,BAYVIEW TERRACE,2525 S SHORE DR,HI-RISE,1965,1.0,1,860,1,1,0,2014-06,"95,000",5293,14
501-0571-100,BAYVIEW TERRACE,252519E S SHORE DR,HI-RISE,1965,1.0,1,860,1,1,0,2014-07,"170,000",5293,14
501-0586-100,BAYVIEW TERRACE,2525 S SHORE DR,HI-RISE,1965,1.0,1,860,1,1,0,2014-04,"112,900",5293,14
354-1146-000,BEERLINE RIVER HOMES,2005 N RIVERWALK WA,TOWNHOUSE,2002,3.0,1,"2,237",2,2,0,2014-02,"327,000",5939,6
354-1155-000,BEERLINE RIVER HOMES,2030 N COMMERCE ST,TOWNHOUSE,2002,3.0,1,"1,969",2,2,0,2014-06,"275,000",5939,6
354-1171-000,BEERLINE RIVER HOMES,2050 N COMMERCE ST,APARTMENT,2005,1.0,1,"1,700",2,2,0,2014-11,"225,000",5939,6
354-1168-000,BEERLINE RIVER HOMES,2050 N COMMERCE ST,APARTMENT,2005,2.0,1,"1,521",2,1,1,2014-06,"210,000",5939,6
354-1159-000,BEERLINE RIVER HOMES,2012 N COMMERCE ST,TOWNHOUSE,2002,3.0,1,"1,510",1,1,1,2014-05,"216,500",5939,6
354-1124-000,BEERLINE RIVER HOMES,1912 N BOOTH ST,TOWNHOUSE,2001,3.0,1,"1,315",2,1,1,2014-06,"237,200",5939,6
354-1178-000,BEERLINE RIVER HOMES,2050 N COMMERCE ST,APARTMENT,2005,1.0,1,"1,289",2,1,0,2014-07,"175,000",5939,6
319-1039-100,BELLEVIEW MANOR,2222 E BELLEVIEW PL,APARTMENT,1969,1.0,1,574,1,1,0,2014-12,"77,500",5670,3
319-1026-000,BELLEVIEW MANOR,2222 E BELLEVIEW PL,APARTMENT,1969,1.0,1,538,1,1,0,2014-08,"64,000",5670,3
392-2786-000,BLATZ,270 E HIGHLAND AV,WAREHOUSE,1901,2.0,1,"1,294",2,1,0,2014-09,"226,750",5901,4
392-2701-000,BLATZ,270 E HIGHLAND AV,APARTMENT,1901,1.0,1,"1,278",1,1,0,2014-09,"180,000",5901,4
392-2716-000,BLATZ,270 E HIGHLAND AV,WAREHOUSE,1901,2.0,1,"1,260",2,1,1,2014-05,"187,500",5901,4
392-2869-000,BLATZ,270 E HIGHLAND AV,APARTMENT,1901,1.0,1,"1,207",2,2,0,2014-11,"219,500",5901,4
392-2787-000,BLATZ,270 E HIGHLAND AV,WAREHOUSE,1901,2.0,1,"1,095",2,1,1,2014-07,"182,500",5901,4
392-2853-000,BLATZ,270 E HIGHLAND AV,WAREHOUSE,1901,2.0,1,"1,095",2,1,0,2014-06,"182,000",5901,4
392-2831-000,BLATZ,270 E HIGHLAND AV,APARTMENT,1901,1.0,1,"1,069",2,2,0,2014-02,"170,000",5901,4
392-2785-000,BLATZ,270 E HIGHLAND AV,WAREHOUSE,1901,1.0,1,"1,038",2,1,0,2014-07,"213,000",5901,4
392-2731-000,BLATZ,270 E HIGHLAND AV,APARTMENT,1901,2.0,1,980,2,1,1,2014-10,"170,000",5901,4
392-2756-000,BLATZ,270 E HIGHLAND AV,APARTMENT,1901,2.0,1,980,2,1,1,2014-06,"160,000",5901,4
392-2790-000,BLATZ,270 E HIGHLAND AV,APARTMENT,1901,2.0,1,980,2,1,1,2014-12,"164,000",5901,4
392-2820-000,BLATZ,270 E HIGHLAND AV,APARTMENT,1901,2.0,1,980,2,1,1,2014-07,"171,000",5901,4
392-2822-000,BLATZ,270 E HIGHLAND AV,APARTMENT,1901,2.0,1,980,2,2,0,2014-10,"170,000",5901,4
392-2855-000,BLATZ,270 E HIGHLAND AV,APARTMENT,1901,2.0,1,980,2,1,1,2014-10,"170,000",5901,4
