Taxkey,Address,Style,YearBld,Story,FinSqft,Exterior,BedRms,FullBath,HalfBath,LotSqft,SaleDate,Sale $,Nbhd,Ald
266-0499-000,3744 N 52ND ST,Cape Cod,1942,1.5,"1,985",Aluminum / Vinyl,5,2,1,"4,800",2016-03,"133,400",1830,7
266-0550-000,3520 N 55TH ST,Cape Cod,1947,1.0,"1,608",Brick,4,1,1,"4,920",2016-02,"97,500",1830,7
266-0611-000,3606 N 57TH ST,Cape Cod,1947,1.0,"1,563",Brick,4,2,0,"4,551",2016-02,"90,000",1830,7
267-0963-000,3771 N 50TH ST,Cape Cod,1950,1.0,"1,155",Brick,3,1,0,"4,840",2016-01,"80,000",1820,7
268-1330-000,3815 N 37TH ST,Cape Cod,1940,1.0,915,Aluminum / Vinyl,2,1,0,"4,800",2016-02,"35,000",1740,7
268-1504-000,3915 W ROOSEVELT DR,Colonial,1945,2.0,"1,399",Masonry / Frame,3,1,1,"4,680",2016-01,"75,750",1740,7
307-1205-000,2877 N SHERMAN BL,Dplx Bungalow,1926,2.0,"3,835",Brick,6,2,0,"6,760",2016-02,"135,000",2500,7
307-0328-000,2835 N 49TH ST,Dplx Bungalow,1924,2.0,"3,280",Frame,7,2,0,"5,160",2016-02,"57,500",2510,7
307-0299-000,2831 N 48TH ST,Dplx Bungalow,1923,1.5,"1,860",Aluminum / Vinyl,3,2,0,"5,000",2016-03,"72,000",2510,7
307-1126-000,2825 N 46TH ST,Dplx Bungalow,1924,1.5,"1,724",Aluminum / Vinyl,3,2,0,"4,920",2016-02,0,2510,7
229-0806-000,4635 N 42ND ST,Duplex N/S,1950,2.0,"2,008",Brick,4,2,0,"4,800",2016-02,"79,900",1440,7
286-0672-000,3124 N 33RD ST,Duplex O/S,1916,1.5,"1,729",Aluminum / Vinyl,4,2,0,"3,234",2016-03,"25,000",2960,7
288-0174-000,3315 N 46TH ST,Milwaukee Bungalow,1927,1.0,"2,135",Brick,3,2,0,"5,040",2016-02,"111,000",1840,7
267-0440-000,4512 W LEON TR,Milwaukee Bungalow,1930,1.0,"1,671",Aluminum / Vinyl,4,3,0,"5,120",2016-02,"99,450",1820,7
229-0630-100,3831 W HAMPTON AV,Milwaukee Bungalow,1929,1.0,"1,481",Aluminum / Vinyl,4,1,0,"4,212",2016-03,"43,000",1440,7
307-0062-000,2906 N 46TH ST,Milwaukee Bungalow,1923,1.0,"1,429",Aluminum / Vinyl,4,1,0,"5,000",2016-01,"42,500",2510,7
229-9852-000,4519 N 41ST ST,Milwaukee Bungalow,1929,1.0,"1,428",Brick,3,1,0,"4,440",2016-02,"51,800",1440,7
286-0294-000,3334 N 28TH ST,Milwaukee Bungalow,1925,1.0,"1,156",Frame,3,1,0,"3,600",2016-02,"25,000",2960,7
307-0669-000,3046 N 46TH ST,Milwaukee Bungalow,1922,1.0,897,Aluminum / Vinyl,3,1,0,"5,250",2016-02,"22,500",2510,7
266-0533-000,3632 N 54TH BL,Ranch,1947,1.0,"1,241",Stone,2,1,0,"4,920",2016-02,"60,000",1830,7
227-0086-120,4623 N 53RD ST,Ranch,1966,1.0,"1,092",Aluminum / Vinyl,3,1,1,"6,255",2016-01,"79,000",1150,7
247-0594-000,4053 N ELMHURST RD,Residence O/S,1927,2.0,"1,474",Aluminum / Vinyl,3,1,0,"4,800",2016-02,"25,000",1680,7
