Taxkey,Address,lat,lng
231-1030-000,4539 N TEUTONIA AV,43.09970999999999,-87.944569
245-2302-000,4080 N 21ST ST,43.0912492,-87.9388144
231-0912-000,2531 W VICTORY LA,43.1012551,-87.9452611
209-0361-000,4736 W EGGERT PL,43.111201,-87.97251
230-0398-000,3112 W GLENDALE AV,43.1010927,-87.95223879999999
205-0315-000,1981 W VILLARD AV,43.1114031,-87.93617669999999
250-0804-000,4031 N 61ST ST,43.090823,-87.9885865
185-0520-000,9402 W SHERIDAN AV,43.118772,-88.029883
185-0541-000,9336 W BIRCH AV,43.117954,-88.029572
185-0542-000,9346 W BIRCH AV,43.117938,-88.02998099999999
174-0505-000,5938 N 68TH ST,43.12583,-87.995542
153-0313-000,7932 W BENDER AV,43.132577,-88.01042
177-0209-000,8834 W CARMEN AV,43.123759,-88.023123
177-0210-000,8906 W CARMEN AV,43.123757,-88.02340199999999
213-0902-000,5143 N 76TH ST,43.111404,-88.00655499999999
152-0618-100,8410 W LYNX AV,43.1300457,-88.0161548
355-0072-000,1862 N CAMBRIDGE AV,43.055796,-87.892121
281-0982-000,3076 N PIERCE ST,43.0745859,-87.902378
321-1902-000,2631 N HUMBOLDT BL,43.0663376,-87.8983111
360-0012-000,1655 N VAN BUREN ST,43.051949,-87.903761
355-0121-000,1508 E IRVING PL,43.057626,-87.8915789
320-1007-100,2425 N OAKLAND AV,43.0619494,-87.8883807
360-0677-000,719 E PLEASANT ST,43.0503435,-87.90271179999999
360-0648-000,1245 N CASS ST,43.046743,-87.902535
401-0134-000,3133 W CLYBOURN ST,43.03592,-87.953835
389-0011-000,2314 W WELLS ST,43.0404527,-87.9421285
401-2005-100,3030 W MICHIGAN ST,43.037771,-87.9524859
389-1707-000,2522 W WELLS ST,43.0405169,-87.9457149
261-0407-100,9307 W CAPITOL DR,43.08935,-88.029366
224-0001-110,8227 W APPLETON AV,43.103036,-88.015086
253-0423-000,4225 N 91ST ST,43.093926,-88.0267333
216-9987-100,10416 W HAMPTON AV,43.10531599999999,-88.04272399999999
262-0608-000,8712 W MELVINA ST,43.08885,-88.021834
284-1316-000,1625 W KEEFE AV,43.08162309999999,-87.93192669999999
275-0127-000,1122 E SINGER CR,43.084636,-87.896431
313-0808-000,3042 N PALMER ST,43.073901,-87.908995
248-0641-000,4510 W CAPITOL DR,43.090177,-87.97035
229-0638-100,3925 W HAMPTON AV,43.1044464,-87.9622621
435-0236-000,1141 S 31ST ST,43.0192,-87.952839
459-0781-000,2301 W MAPLE ST,43.010997,-87.94249099999999
434-0016-000,726 S 22ND ST,43.023549,-87.940437
459-0703-000,1726 S 24TH ST,43.011786,-87.943311
434-0142-000,1017 S 25TH ST,43.020651,-87.9454049
434-0418-000,2315 W SCOTT ST,43.0189099,-87.9427407
043-0481-000,7600 W WABASH CT,43.1733793,-88.0064971
034-1189-000,8835 N SWAN RD,43.178528,-88.024928
305-1052-000,6125 W GIRARD AV,43.0724999,-87.9894273
402-0732-100,442 N 39TH ST,43.0358124,-87.96251559999999
304-0086-000,3074 N 73RD ST,43.0750559,-88.003225
416-1131-100,503 S 92ND ST,43.02577640000001,-88.02740999999999
559-0042-000,7639 W MORGAN AV,42.980672,-88.009113
559-1019-000,7638 W HOWARD AV,42.974148,-88.009389
526-9926-100,8806 W MORGAN AV,42.981268,-88.022875
526-0319-000,3430 S 92ND ST,42.982498,-88.027112
526-0305-000,3338 S 92ND ST,42.983735,-88.02709
527-0504-000,3367 S 76TH ST,42.983135,-88.008363
531-0416-000,4835 W OKLAHOMA AV,42.9880706,-87.97511399999999
512-0639-000,4730 W OKLAHOMA AV,42.9886206,-87.9738264
559-0220-100,8009 W MORGAN AV,42.9807149,-88.013114
527-0502-100,3355 S 76TH ST,42.983382,-88.00835699999999
527-0501-000,3337 S 76TH ST,42.983714,-88.008349
526-0504-100,3476 S 92ND ST,42.9815189,-88.0275063
526-1511-000,8423 W OKLAHOMA AV,42.987702,-88.018386
497-0117-000,2491 S 12TH ST,42.999325,-87.927607
461-1461-000,1629 S 7TH ST,43.013461,-87.920238
432-0318-000,1201 S 12TH ST,43.018895,-87.927081
469-1839-000,1704 W LINCOLN AV,43.003197,-87.934792
433-1825-000,1229 S CESAR E CHAVEZ DR,43.0183681,-87.9333305
433-0304-000,1434 W GREENFIELD AV,43.017267,-87.93039220000001
467-0530-000,2042 S 6TH ST,43.007345,-87.91838299999999
468-0074-000,828 W WINDLAKE AV,43.0100547,-87.9223301
577-9928-211,2222 W BOLIVAR AV,42.966964,-87.94220419999999
553-0517-000,3041 W FARDALE AV,42.976775,-87.95197999999999
553-0505-000,3020 W FARDALE AV,42.97723269999999,-87.9526166
689-0405-100,6115 S 13TH ST,42.933757,-87.930337
577-0201-000,3909 S 20TH ST,42.9734675,-87.9393028
498-0108-200,2323 S 5TH ST,43.00215,-87.917225
538-0970-000,3378 S HOWELL AV,42.982835,-87.90630399999999
582-0410-000,926 E WATERFORD AV,42.9701809,-87.89671299999999
497-0667-000,977 W ARTHUR AV,42.9990864,-87.92458660000001
500-1026-100,533 E LINCOLN AV,43.002648,-87.90174999999999
505-1117-000,3047 S HOWELL AV,42.98902469999999,-87.9047033
311-2096-000,2763 N 16TH ST,43.069122,-87.93359099999999
311-2096-000,2763 N 16TH ST,43.069122,-87.93359099999999
311-2096-000,2763 N 16TH ST,43.069122,-87.93359099999999
