Taxkey,Address,lat,lng
359-1546-000,1522 N PROSPECT AV,43.0495192,-87.89335419999999
359-1476-000,1522 N PROSPECT AV,43.0495192,-87.89335419999999
359-1488-000,1522 N PROSPECT AV,43.0495192,-87.89335419999999
359-1514-000,1522 N PROSPECT AV,43.0495192,-87.89335419999999
359-1468-000,1522 N PROSPECT AV,43.0495192,-87.89335419999999
359-1498-000,1522 N PROSPECT AV,43.0495192,-87.89335419999999
359-1501-000,1522 N PROSPECT AV,43.0495192,-87.89335419999999
359-1525-000,1522 N PROSPECT AV,43.0495192,-87.89335419999999
359-1531-000,1522 N PROSPECT AV,43.0495192,-87.89335419999999
360-1596-000,601 E OGDEN AV,43.0477618,-87.9043205
360-1597-000,601 E OGDEN AV,43.0477618,-87.9043205
360-1620-000,601 E OGDEN AV,43.0477618,-87.9043205
360-1644-000,601 E OGDEN AV,43.0477618,-87.9043205
360-1607-000,601 E OGDEN AV,43.0477618,-87.9043205
360-1648-000,601 E OGDEN AV,43.0477618,-87.9043205
360-1605-000,601 E OGDEN AV,43.0477618,-87.9043205
360-1624-000,601 E OGDEN AV,43.0477618,-87.9043205
360-1592-000,601 E OGDEN AV,43.0477618,-87.9043205
360-1625-000,601 E OGDEN AV,43.0477618,-87.9043205
360-1595-000,601 E OGDEN AV,43.0477618,-87.9043205
360-1650-000,601 E OGDEN AV,43.0477618,-87.9043205
078-0158-000,7968 N 107TH ST,43.16179,-88.042688
078-0148-000,7968 N 107TH ST,43.16179,-88.042688
078-0154-000,7968 N 107TH ST,43.16179,-88.042688
078-0163-000,7972 N 107TH ST,43.16179,-88.042688
360-1311-000,1016 E OGDEN AV,43.048721,-87.89896499999999
360-1572-000,1663 N ASTOR ST,43.05213,-87.90001099999999
280-1843-000,3255 N BARTLETT AV,43.076942,-87.889393
466-1584-000,2121 S KINNICKINNIC AV,43.0062974,-87.9072886
501-0503-000,25258C S SHORE DR,42.9940871,-87.88229989999999
501-0546-000,252515D S SHORE DR,42.9940871,-87.88229989999999
501-0564-100,252518D S SHORE DR,42.9940871,-87.88229989999999
501-0566-100,252518F S SHORE DR,42.9940871,-87.88229989999999
501-0599-110,252524C S SHORE DR,42.9940871,-87.88229989999999
501-0481-000,25254E S SHORE DR,42.9940871,-87.88229989999999
501-0550-110,2525 S SHORE DR,42.9993421,-87.8884186
501-0571-100,252519E S SHORE DR,42.9940871,-87.88229989999999
501-0586-100,2525 S SHORE DR,42.9993421,-87.8884186
354-1146-000,2005 N RIVERWALK WA,43.05754,-87.900024
354-1155-000,2030 N COMMERCE ST,43.05754,-87.900024
354-1171-000,2050 N COMMERCE ST,43.0575376,-87.8996442
354-1168-000,2050 N COMMERCE ST,43.0575376,-87.8996442
354-1159-000,2012 N COMMERCE ST,43.05754,-87.900024
354-1124-000,1912 N BOOTH ST,43.05754,-87.900024
354-1178-000,2050 N COMMERCE ST,43.0575376,-87.8996442
319-1039-100,2222 E BELLEVIEW PL,43.0661276,-87.8821462
319-1026-000,2222 E BELLEVIEW PL,43.0661276,-87.8821462
392-2786-000,270 E HIGHLAND AV,43.04523349999999,-87.90901699999999
392-2701-000,270 E HIGHLAND AV,43.04523349999999,-87.90901699999999
392-2716-000,270 E HIGHLAND AV,43.04523349999999,-87.90901699999999
392-2869-000,270 E HIGHLAND AV,43.04523349999999,-87.90901699999999
392-2787-000,270 E HIGHLAND AV,43.04523349999999,-87.90901699999999
392-2853-000,270 E HIGHLAND AV,43.04523349999999,-87.90901699999999
392-2831-000,270 E HIGHLAND AV,43.04523349999999,-87.90901699999999
392-2785-000,270 E HIGHLAND AV,43.04523349999999,-87.90901699999999
392-2731-000,270 E HIGHLAND AV,43.04523349999999,-87.90901699999999
392-2756-000,270 E HIGHLAND AV,43.04523349999999,-87.90901699999999
392-2790-000,270 E HIGHLAND AV,43.04523349999999,-87.90901699999999
392-2820-000,270 E HIGHLAND AV,43.04523349999999,-87.90901699999999
392-2822-000,270 E HIGHLAND AV,43.04523349999999,-87.90901699999999
392-2855-000,270 E HIGHLAND AV,43.04523349999999,-87.90901699999999
392-2702-000,270 E HIGHLAND AV,43.04523349999999,-87.90901699999999
392-2775-000,270 E HIGHLAND AV,43.04523349999999,-87.90901699999999
392-2781-000,270 E HIGHLAND AV,43.04523349999999,-87.90901699999999
624-1618-000,4836 S 19TH ST,42.9564108,-87.936379
624-1670-000,4912-D S 19TH ST,42.9556449,-87.93664799999999
