Taxkey,Address,lat,lng
556-0329-000,3777 S 51ST ST,42.975873,-87.97847399999999
533-0350-000,3400 S 33RD ST,42.983542,-87.955342
510-0429-000,3054 S 34TH ST,42.989251,-87.956476
490-1036-000,2561 S 61ST ST,42.997945,-87.989285
532-0421-000,3169 S 39TH ST,42.98684,-87.963354
530-0538-000,3264 S 55TH ST,42.9851995,-87.9826094
553-0075-000,3509 S 33RD ST,42.980947,-87.95605499999999
510-0387-000,3036 S 32ND ST,42.9897061,-87.95419079999999
559-0109-000,3539 S 83RD ST,42.980095,-88.016801
512-0535-000,2769 S 47TH ST,42.994205,-87.97310999999999
512-0738-000,2732 S 46TH ST,42.994861,-87.97117
553-0154-000,3614 S 35TH ST,42.9790009,-87.95788999999999
554-0052-000,3818 S CENTENNIAL CR,42.97495869999999,-87.96494009999999
513-1041-000,5617 W CLEVELAND AV,42.995272,-87.98429999999999
558-0509-000,7338 W EDEN PL,42.9802757,-88.0047189
571-0552-000,7123 W WATERFORD AV,42.97014,-88.00340399999999
511-0021-000,3031 S 41ST ST,42.9896889,-87.96562949999999
490-9873-000,6730 W HARRISON AV,42.99769,-87.996696
492-0703-000,2593 S 51ST ST,42.997423,-87.977598
531-0604-000,3119 S 43RD ST,42.987831,-87.968329
491-1017-000,2637 S 51ST ST,42.9965,-87.97809199999999
490-1234-000,2636 S 64TH ST,42.9966282,-87.99209379999999
560-0348-100,3759 S 91ST ST,42.976014,-88.02676199999999
533-1019-000,3224 W VERONA CT,42.98234,-87.95528399999999
514-0603-000,2952 S 61ST ST,42.990896,-87.98871799999999
532-0415-000,3162 S 40TH ST,42.9868359,-87.963883
491-1118-000,5421 W ANDOVER RD,42.99692100000001,-87.98208699999999
556-9927-100,5730 W HOWARD AV,42.97417,-87.986361
526-0634-000,9000 W BURDICK AV,42.9836969,-88.02531440000001
571-0106-000,7503 W HOWARD AV,42.973408,-88.006877
556-0475-100,3845 S 53RD ST,42.974662,-87.980915
490-1276-000,6200 W CLEVELAND AV,42.995868,-87.990387
526-0162-000,8717 W BURDICK AV,42.985086,-88.0214694
528-0758-000,7404 W OHIO AV,42.984043,-88.00442699999999
558-0626-000,7322 W WEDGEWOOD DR,42.978,-88.00428199999999
558-0618-000,7339 W GEORGIA AV,42.9784239,-88.004204
512-0014-000,2975 S 50TH ST,42.990429,-87.97688099999999
533-0128-000,3320 W VERONA CT,42.982329,-87.956283
528-0502-000,7105 W VERONA CT,42.981743,-88.002516
525-1362-000,3474 S 93RD ST,42.98131,-88.02883899999999
527-0216-000,8221 W BURDICK AV,42.985753,-88.015619
530-1088-000,3136 S 56TH ST,42.9875029,-87.9837079
527-0338-000,3361 S 79TH ST,42.983283,-88.011867
527-0381-000,7737 W VERONA CT,42.981689,-88.01045099999999
531-9949-000,3147 S 49TH ST,42.987272,-87.97569399999999
514-0052-000,6205 W CLEVELAND AV,42.9954525,-87.9906115
527-0384-000,7713 W VERONA CT,42.981689,-88.0097739
527-0703-000,7912 W BURDICK AV,42.985708,-88.0119689
553-0108-000,3504 S 34TH ST,42.981025,-87.95661299999999
530-0717-000,3429 S 54TH ST,42.982199,-87.981139
555-0107-000,4675 W CRAWFORD AV,42.976238,-87.97361599999999
490-1023-000,2524 S 61ST ST,42.9986869,-87.9885709
560-0157-000,3753 S 86TH ST,42.9762102,-88.02055589999999
557-0517-000,6700 W TRIPOLI AV,42.97502,-87.99667099999999
531-0107-000,3134 S 51ST ST,42.987506,-87.977476
514-0660-000,6301 W MANITOBA ST,42.9899023,-87.99201950000001
529-1042-000,6422 W VERONA CT,42.982269,-87.993509
530-1307-000,3365 S 58TH ST,42.983382,-87.986859
528-0744-000,7446 W BURDICK AV,42.985534,-88.0055919
530-1328-000,3378 S 58TH ST,42.9831303,-87.9862421
529-0926-000,6521 W EUCLID AV,42.986313,-87.99374499999999
529-0919-000,6579 W EUCLID AV,42.986299,-87.99535
490-1231-000,2608 S 64TH ST,42.9971708,-87.9920911
573-0045-000,4186 S 57TH ST,42.968338,-87.985528
529-1041-000,3432 S 65TH ST,42.9822672,-87.9937707
514-0624-000,6216 W IDAHO ST,42.9910058,-87.99078109999999
557-0815-000,3724 S 68TH ST,42.976459,-87.997483
561-9973-100,3817 S 92ND ST,42.97508699999999,-88.02816899999999
