Taxkey,Address,Style,YearBld,Story,FinSqft,Exterior,BedRms,FullBath,HalfBath,LotSqft,SaleDate,Sale $,Nbhd,Ald
190-1001-000,5527 N 51ST BL,Cape Cod,1952,1.0,"1,738",Brick,4,2,0,"7,424",2014-06,"81,500",1140,1
244-9989-000,4209 N 19TH PL,Cape Cod,1939,1.5,"1,686",Stucco,3,1,1,"5,400",2014-12,"68,000",1620,1
195-9926-000,5501 N 13TH ST,Cape Cod,1955,1.5,"1,675",Brick,4,2,1,"5,777",2014-04,"180,000",1220,1
102-0512-000,4200 W CLINTON AV,Cape Cod,1955,1.0,"1,565",Brick,4,2,0,"10,512",2014-03,"121,900",0380,1
171-9710-000,5879 N 41ST ST,Cape Cod,1951,1.0,"1,473",Aluminum / Vinyl,4,1,1,"7,100",2014-12,"92,000",0900,1
171-9650-000,5813 N 40TH ST,Cape Cod,1953,1.0,"1,305",Brick,3,2,0,"6,350",2014-01,"72,900",0900,1
193-0441-000,5173 N 28TH ST,Cape Cod,1949,1.0,"1,296",Aluminum / Vinyl,3,1,1,"4,920",2014-11,"24,281",1200,1
193-0441-000,5173 N 28TH ST,Cape Cod,1949,1.0,"1,296",Aluminum / Vinyl,3,1,1,"4,920",2014-11,"24,281",1200,1
170-0010-000,5867 N 34TH ST,Cape Cod,1950,1.0,"1,276",Brick,4,1,0,"6,000",2014-11,"63,900",0900,1
190-1505-000,5450 N 54TH ST,Cape Cod,1952,1.5,"1,274",Aluminum / Vinyl,4,1,0,"6,834",2014-07,"59,900",1140,1
210-1219-000,4835 N 51ST BL,Cape Cod,1949,1.0,"1,232",Stone,3,1,0,"6,550",2014-06,"32,000",1140,1
195-0303-000,5571 N LONG ISLAND DR,Cape Cod,1954,1.0,"1,224",Frame,4,1,0,"5,265",2014-12,"78,000",1200,1
170-0807-000,5748 N 35TH ST,Cape Cod,1951,1.0,"1,184",Brick,3,1,0,"5,760",2014-01,"63,500",0900,1
195-9984-400,5458 N 20TH ST,Cape Cod,1959,1.0,"1,134",Aluminum / Vinyl,3,1,0,"4,000",2014-08,"49,100",1200,1
206-0519-000,4901 N 26TH ST,Cape Cod,1941,1.0,"1,093",Aluminum / Vinyl,3,1,0,"4,992",2014-06,"62,000",1340,1
232-0301-000,4743 N GREEN BAY AV,Cape Cod,1951,1.0,"1,054",Brick,2,1,0,"11,138",2014-05,"65,000",1340,1
158-0256-000,6125 N 37TH ST,Cape Cod,1952,1.0,"1,039",Aluminum / Vinyl,3,1,0,"5,600",2014-01,"64,000",0900,1
206-0520-000,4914 N 27TH ST,Cape Cod,1941,1.0,990,Aluminum / Vinyl,3,1,0,"5,850",2014-04,"50,500",1340,1
206-0831-000,5002 N 24TH PL,Cape Cod,1948,1.0,965,Brick,2,1,1,"4,800",2014-09,"48,800",1340,1
244-0971-000,4220 N 19TH PL,Colonial,1938,2.0,"1,540",Brick,3,1,1,"5,715",2014-11,"28,655",1620,1
158-0167-000,6082 N 36TH ST,Cottage,1913,1.5,"1,175",Aluminum / Vinyl,3,1,0,"4,800",2014-11,"14,000",0900,1
230-0103-000,4569 N 29TH ST,Cottage,1924,1.0,572,Aluminum / Vinyl,2,1,0,"4,200",2014-01,"8,600",1500,1
244-0618-000,4075 N 13TH ST,Dplx Bungalow,1926,1.5,"2,251",Stucco,4,2,0,"5,040",2014-08,"50,000",1620,1
244-0692-000,4028 N 17TH ST,Dplx Bungalow,1928,1.5,"2,220",Brick,4,2,0,"5,280",2014-08,"77,000",1620,1
230-0210-100,4715 N 28TH ST,Dplx Bungalow,1931,1.5,"1,973",Aluminum / Vinyl,4,2,0,"5,400",2014-11,"21,500",1500,1
231-0570-000,4452 N 22ND ST,Duplex N/S,1947,2.0,"2,130",Masonry / Frame,4,2,0,"4,800",2014-10,"76,300",1620,1
171-0131-200,5654 N 43RD ST,Duplex N/S,1967,2.0,"2,113",Aluminum / Vinyl,6,2,0,"4,720",2014-04,"79,900",0900,1
158-0202-200,6166-A N 37TH ST,Duplex N/S,1970,1.5,"2,104",Aluminum / Vinyl,5,2,1,"4,840",2014-02,"70,000",0900,1
193-0286-000,5520 N 33RD ST,Duplex N/S,1947,2.0,"2,100",Brick,4,2,0,"3,600",2014-01,"70,500",1160,1
209-1203-000,4607 W VILLARD AV,Duplex N/S,1953,2.0,"1,824",Aluminum / Vinyl,6,2,0,"5,960",2014-01,"48,000",1150,1
195-0293-000,2217 W SILVER SPRING DR,Duplex N/S,1954,2.0,"1,810",Brick,6,2,0,"6,240",2014-09,"80,000",1200,1
195-0294-000,2209 W SILVER SPRING DR,Duplex N/S,1954,2.0,"1,810",Brick,6,2,0,"6,240",2014-06,"72,000",1200,1
170-0373-000,2835 W ORIOLE DR,Duplex N/S,1955,2.0,"1,586",Aluminum / Vinyl,4,2,0,"4,880",2014-12,"36,188",0900,1
205-0493-000,4931 N 18TH ST,Duplex O/S,1924,2.0,"1,548",Aluminum / Vinyl,4,2,0,"5,080",2014-06,"41,000",1340,1
231-0411-000,4727 N 22ND ST,Duplex O/S,1928,1.5,"1,508",Frame,4,2,0,"5,120",2014-06,"48,000",1340,1
208-0688-000,4944-A N 37TH ST,Milwaukee Bungalow,1924,1.5,"1,914",Aluminum / Vinyl,4,3,0,"4,800",2014-03,"106,000",1440,1
230-0618-000,4512 N 28TH ST,Milwaukee Bungalow,1927,1.5,"1,609",Aluminum / Vinyl,4,2,0,"4,760",2014-06,"72,000",1500,1
208-1321-000,5119 N 39TH ST,Milwaukee Bungalow,1927,1.0,"1,294",Aluminum / Vinyl,3,1,0,"4,905",2014-12,"58,000",1440,1
245-1615-000,4248 N 25TH ST,Milwaukee Bungalow,1928,1.0,"1,258",Aluminum / Vinyl,2,1,0,"5,117",2014-08,"55,000",1500,1
