Taxkey,Address,Style,YearBld,Story,Units,FinSqft,Exterior,BedRms,FullBath,HalfBath,LotSqft,SaleDate,Sale $,Nbhd,Ald
193-0005-000,5244 N TEUTONIA AV,AP 1,1954,2.0,6,"4,426",Brick,8,1,0,"8,848",2015-12,"135,000",6641,1
193-0107-000,5318 N 29TH ST,AP 1,1955,2.0,4,"4,270",Brick,12,1,0,"10,625",2015-04,"145,000",6641,1
208-0591-000,4863 N HOPKINS ST,AP 1,1955,2.0,4,"3,250",Brick,8,1,0,"6,641",2015-07,"75,000",6641,1
170-0203-000,5882 N 32ND ST,AP 1,1954,2.0,4,"3,056",Brick,8,1,0,"8,922",2015-03,"119,000",6640,1
244-1020-000,4171 N 19TH PL,AP 1,1941,2.0,4,"2,666",Brick,4,1,0,"8,600",2015-08,"56,160",6691,1
230-0045-000,2839 W ATKINSON AV,AP 1,1955,2.0,4,"2,494",Brick,4,1,0,"5,412",2015-01,"55,000",6691,1
230-0398-000,3112 W GLENDALE AV,AP 2,1928,2.0,8,"6,807",Brick,12,1,0,"5,280",2015-08,"137,500",6690,1
230-0141-000,4576 N 31ST ST,AP 2,1929,2.0,8,"6,521",Brick,8,1,0,"7,200",2015-12,"195,000",6690,1
170-9955-100,5804 N TEUTONIA AV,AP 2,1972,2.0,7,"6,156",Masonry / Frame,9,1,0,"8,891",2015-06,"127,000",6640,1
230-0507-000,2705 W COURTLAND AV,AP 2,1954,2.0,8,"3,832",Brick,0,1,0,"6,840",2015-11,"180,000",6691,1
187-0003-100,7939 W FOND DU LAC AV,AP 1,1957,2.0,4,"4,306",Brick,12,1,0,"13,500",2015-12,"170,000",6674,2
187-0303-000,8030 W SHERIDAN AV,AP 1,1957,2.0,4,"4,306",Brick,12,1,0,"9,990",2015-04,"185,000",6674,2
177-0127-100,8613 W FOND DU LAC AV,AP 1,1960,2.0,4,"4,102",Brick,12,1,0,"10,984",2015-02,"170,000",6674,2
178-0435-100,5658 N 94TH ST,AP 1,1965,2.0,4,"4,080",Brick,10,1,1,"9,680",2015-08,"157,000",6674,2
152-0402-000,6234 N 91ST ST,AP 1,1959,2.0,4,"3,391",Masonry / Frame,8,1,0,"9,600",2015-06,"130,000",6620,2
177-0202-000,8726 W CARMEN AV,AP 1,1959,2.0,4,"3,382",Brick,8,1,0,"9,620",2015-02,"80,000",6674,2
