Taxkey,Project,Address,Style,YearBld,Story,Units,FinSqft,BedRms,FullBath,HalfBath,SaleDate,Sale $,Nbhd,Ald
359-1479-000,1522 ON THE LAKE CONDOMINIUMS,1522 N PROSPECT AV,HI RISE,2002,1.0,1,"2,012",2,2,0,2015-04,"589,000",5951,4
359-1526-000,1522 ON THE LAKE CONDOMINIUMS,1522 N PROSPECT AV,HI RISE,2002,1.0,1,"1,759",2,2,0,2015-05,"515,000",5951,4
360-1764-000,1653 JACKSON,1653 N JACKSON ST,Apartment,2007,1.0,1,"1,040",1,1,0,2015-05,"175,500",5752,3
318-0501-000,2408 TERRACE CONDOMINIUM,2408 N TERRACE AV,DUPLEX,1969,1.0,1,"1,916",3,2,0,2015-06,"335,000",5613,3
360-1606-000,601 LOFTS,601 E OGDEN AV,APARTMENT,2006,1.0,1,"1,851",2,2,0,2015-07,"350,000",5662,4
360-1613-000,601 LOFTS,601 E OGDEN AV,APARTMENT,2006,1.0,1,"1,172",1,1,0,2015-06,"220,250",5662,4
360-1591-000,601 LOFTS,601 E OGDEN AV,APARTMENT,2006,1.0,1,"1,053",1,1,0,2015-08,"192,500",5662,4
360-1603-000,601 LOFTS,601 E OGDEN AV,APARTMENT,2006,1.0,1,"1,053",1,1,0,2015-07,"205,000",5662,4
360-1614-000,601 LOFTS,601 E OGDEN AV,APARTMENT,2006,1.0,1,"1,053",1,1,0,2015-09,"204,000",5662,4
360-1627-000,601 LOFTS,601 E OGDEN AV,APARTMENT,2006,1.0,1,"1,053",1,1,0,2015-11,"200,000",5662,4
355-1548-000,ABBOTSFORD CONDOMINIUM,1920 N FARWELL AV,APARTMENT,2001,1.0,1,"1,765",2,2,1,2015-10,"280,000",5805,3
355-1563-000,ABBOTSFORD CONDOMINIUM,1920 N FARWELL AV,APARTMENT,2001,1.0,1,"1,465",2,1,1,2015-02,"205,000",5805,3
078-0171-000,ARBOR RIDGE,7980 N 107TH ST,APARTMENT,1999,1.0,1,"1,125",2,2,0,2015-09,"81,000",5103,9
078-0179-000,ARBOR RIDGE,7984 N 107TH ST,APARTMENT,1999,1.0,1,"1,125",2,2,0,2015-08,"90,000",5103,9
078-0173-000,ARBOR RIDGE,7980 N 107TH ST,APARTMENT,1999,1.0,1,812,1,1,0,2015-12,"63,900",5103,9
078-0175-000,ARBOR RIDGE,7980 N 107TH ST,APARTMENT,1999,1.0,1,788,1,1,0,2015-08,"60,000",5103,9
360-1303-000,ASTOR COURT AT EAST POINTE,1003 E LYON ST,TOWNHOUSE,1995,2.0,1,"2,158",3,2,1,2015-08,"702,500",5970,3
360-1324-000,ASTOR COURT AT EAST POINTE,1025 E LYON ST,TOWNHOUSE,1997,2.0,1,"1,902",3,3,1,2015-07,"585,000",5970,3
360-1325-000,ASTOR COURT AT EAST POINTE,1021 E LYON ST,TOWNHOUSE,1997,2.0,1,"1,705",3,2,1,2015-05,"565,000",5970,3
360-1271-000,ASTOR/BRADY,1680 N ASTOR ST,UNKWN,1887,2.0,1,"1,792",2,2,0,2015-06,"181,000",5955,3
320-1701-000,BARTLETT CONDOMINIUMS,2536 N BARTLETT AV,TOWNHOUSE,2008,3.0,1,"1,593",3,2,1,2015-12,"278,000",5411,3
503-1932-000,BAYVIEW BEACH TOWNHOME,3100 S SUPERIOR ST,TOWNHOUSE,2003,2.0,1,"2,344",3,2,0,2015-04,"495,000",5286,14
