Address,lat,lng
4726 AMBOY ROAD                          ,40.539782,-74.169558
26 FINGAL STREET                         ,40.537757,-74.168667
10 EDWIN STREET                          ,40.5373961,-74.16774199999999
23 EYLANDT STREET                        ,40.535774,-74.167084
235 KOCH BOULEVARD                       ,40.534678,-74.16597
28 JANSEN STREET                         ,40.533533,-74.165668
17 WEAVER STREET                         ,40.53343,-74.165156
119 LENZIE STREET                        ,40.531295,-74.16466
369 HAROLD AVENUE                        ,40.5307109,-74.1641796
107 ELMBANK STREET                       ,40.530309,-74.163236
111 ELMBANK STREET                       ,40.530277,-74.1633109
37 SANDGAP STREET                        ,40.5284059,-74.162189
97 EAGAN AVENUE                          ,40.5388548,-74.1724701
69 EAGAN AVENUE                          ,40.5395176,-74.1728771
36 SEGUINE PLACE                         ,40.5394549,-74.172392
60 SEGUINE PLACE                         ,40.5399662,-74.1726656
195 MOSELY AVENUE                        ,40.540759,-74.17154239999999
96 JEANNETTE AVENUE                      ,40.542165,-74.174014
36 LUCY LOOP                             ,40.5416213,-74.17375059999999
48 EAGAN AVENUE                          ,40.539808,-74.173616
10 EAGAN AVENUE                          ,40.540741,-74.174185
53 ENDVIEW STREET                        ,40.5415165,-74.175099
55 BARB STREET                           ,40.5415037,-74.17605929999999
47 BARB STREET                           ,40.54167450000001,-74.17616540000002
20 ENDVIEW STREET                        ,40.54201,-74.175932
60 ENDVIEW STREET                        ,40.541203,-74.17544099999999
32 JEANNETTE AVENUE                      ,40.543064,-74.176051
770 ANNADALE ROAD                        ,40.543132,-74.177565
117 JEFFERSON BOULEVARD                  ,40.54362,-74.179343
146 DETROIT AVENUE                       ,40.54466,-74.178336
138 DETROIT AVENUE                       ,40.544843,-74.17817699999999
158 EDGEGROVE AVENUE                     ,40.5446913,-74.1794744
154 EDGEGROVE AVENUE                     ,40.544701,-74.179214
147 DETROIT AVENUE                       ,40.544762,-74.17894299999999
182 RATHBUN AVENUE                       ,40.545606,-74.183138
994 DRUMGOOLE ROAD WEST                  ,40.545845,-74.182566
1002 DRUMGOOLE ROAD WEST                 ,40.5456631,-74.1827002
151 RATHBUN AVENUE                       ,40.546492,-74.18305400000001
210 SHELDON AVENUE                       ,40.547225,-74.1839789
193 SHELDON AVENUE                       ,40.54784600000001,-74.184254
107 SINCLAIR AVENUE                      ,40.548383,-74.18468899999999
240 CROWN AVENUE                         ,40.54860430000001,-74.1873088
247 CROWN AVENUE                         ,40.54862199999999,-74.187977
26 SHERIDAN PLACE                        ,40.539615,-74.17632499999999
102 BARCLAY AVENUE                       ,40.540197,-74.175899
62 HILLIS STREET                         ,40.537173,-74.17678699999999
64 PINE TERRACE                          ,40.536558,-74.17739399999999
5031 AMBOY ROAD                          ,40.5359408,-74.178242
64 TENAFLY PLACE                         ,40.5369762,-74.1807559
58 TENAFLY PLACE                         ,40.5369762,-74.1807559
116 NORTH PINE TERRACE                   ,40.5384379,-74.1792186
952 ANNADALE ROAD                        ,40.538596,-74.17842300000001
6 EAST TENAFLY AVENUE                    ,40.5396917,-74.1781341
77 BENNETT AVENUE                        ,40.8528656,-73.93544349999999
76 DOWNES AVENUE                         ,40.5375919,-74.18213399999999
24 NORTH RAILROAD ST                     ,40.5404709,-74.179546
75 SOUTH RAILROAD ST                     ,40.539837,-74.179952
327 SHELDON AVENUE                       ,40.54477000000001,-74.186781
282 STAFFORD AVENUE                      ,40.545524,-74.187687
223 SINCLAIR AVENUE                      ,40.545557,-74.18723
227 SINCLAIR AVENUE                      ,40.545465,-74.187309
255 VINELAND AVENUE                      ,40.547315,-74.187825
117 ALBEE AVENUE                         ,40.5398325,-74.1837269
275 EDGEGROVE AVENUE                     ,40.5422678,-74.182259
215 SOUTH RAILROAD ST                    ,40.538342,-74.1846882
192 NORTH RAILROAD ST                    ,40.5387205,-74.1853182
182 NORTH RAILROAD ST                    ,40.538827,-74.185013
360 IONIA AVENUE                         ,40.5404998,-74.1846213
190 HEENAN AVENUE                        ,40.540929,-74.1877109
73 RAMONA AVENUE                         ,40.5413823,-74.18827739999999
449 SINCLAIR AVENUE                      ,40.5437535,-74.19071799999999
131 DELMAR AVENUE                        ,40.543907,-74.191485
32 HEENAN AVENUE                         ,40.545077,-74.189697
30 CROWN PLACE                           ,40.545915,-74.191251
406 CROWN AVENUE                         ,40.545274,-74.19174699999999
129 DOWNES AVENUE                        ,40.53751219999999,-74.18406499999999
74 BUFFINGTON AVENUE                     ,40.5377859,-74.184145
5193 AMBOY ROAD                          ,40.53522419999999,-74.1835881
673 BARCLAY AVENUE                       ,40.526545,-74.166697
4715 HYLAN BOULEVARD                     ,40.528659,-74.163781
24 BENNETT PLACE                         ,40.529461,-74.165227
50 RYAN PLACE                            ,40.527867,-74.16718399999999
64 RYAN PLACE                            ,40.527562,-74.166979
541 BARCLAY AVENUE                       ,40.529715,-74.168847
352 SHIRLEY AVENUE                       ,40.531132,-74.1677009
291 SHIRLEY AVENUE                       ,40.532292,-74.16603099999999
64 JANSEN STREET                         ,40.5330636,-74.1668763
237 HOLDRIDGE AVENUE                     ,40.533071,-74.1679396
491 BARCLAY AVENUE                       ,40.5309389,-74.169587
153 EYLANDT STREET                       ,40.534014,-74.171291
139 TALLMAN STREET                       ,40.534781,-74.171314
409 LIPSETT AVENUE                       ,40.5268016,-74.1691482
274 BARCLAY AVENUE                       ,40.53615000000001,-74.17343199999999
280 BARCLAY AVENUE                       ,40.535998,-74.17334
5008 AMBOY ROAD                          ,40.5356979,-74.17711299999999
44 ZEPHYR AVENUE                         ,40.522934,-74.17358
30 ZEPHYR AVENUE                         ,40.523134,-74.173197
30 LYNCH STREET                          ,40.525689,-74.175285
429 BERTRAM AVENUE                       ,40.524775,-74.174885
