Address,lat,lng
1665 WASHINGTON AVENUE                   ,40.841436,-73.90153099999999
441 EAST 178 STREET                      ,40.8488101,-73.89827989999999
455 EAST 184 STREET                      ,40.8562802,-73.89330269999999
1948 BATHGATE AVENUE                     ,40.84762,-73.896396
538 EAST 182 STREET                      ,40.852897,-73.892845
2364 WASHINGTON AVENUE                   ,40.8566744,-73.89166689999999
2329 BASSFORD AVENUE                     ,40.8560346,-73.8917678
406 EAST TREMONT AVENUE                  ,40.8474223,-73.9006866
1538 WASHINGTON AVENUE                   ,40.838036,-73.90277999999999
1540 WASHINGTON AVENUE                   ,40.838087,-73.90275299999999
3823 3 AVENUE                            ,40.8054492,-73.9345312
1557 FULTON AVENUE                       ,40.838294,-73.900069
541 CLAREMONT PARKWAY                    ,40.838239,-73.90050699999999
2260 WEBSTER AVENUE                      ,40.855623,-73.895585
2264 WEBSTER AVENUE                      ,40.85572,-73.89552499999999
4465 PARK AVE                            ,40.854267,-73.89603799999999
4461 PARK AVENUE                         ,40.854178,-73.896092
1983 WASHINGTON AVENUE                   ,40.849056,-73.89734
440 EAST 185 STREET                      ,40.8568124,-73.8935473
469B EAST 184 STREET                     ,40.8561469,-73.89290439999999
440 EAST 186 STREET                      ,40.85735400000001,-73.89312
2034 BATHGATE AVENUE                     ,40.8495687,-73.8953574
2038 WASHINGTON AVENUE                   ,40.850055,-73.8960029
542 EAST 182 STREET                      ,40.852844,-73.89274999999999
2241 BATHGATE AVENUE                     ,40.853691,-73.89296999999999
2238 BASSFORD AVENUE                     ,40.8538759,-73.8933077
2304 BASSFORD AVE                        ,40.855194,-73.891972
2315 BASSFORD AVENUE                     ,40.8557504,-73.8920492
466 EAST 183 STREET                      ,40.8552985,-73.8935606
470 EAST 183RD STREET                    ,40.8552198,-73.8933689
2355 WASHINGTON AVENUE                   ,40.85666200000001,-73.8922429
2108 BATHGATE AVE                        ,40.8512643,-73.89443969999999
2108 BATHGATE AVENUE                     ,40.8512643,-73.89443969999999
2108 BATHGATE                            ,40.5997035,-73.999312
504 EAST 184 STREET                      ,40.8552908,-73.8917029
506 EAST 184 STREET                      ,40.855227,-73.89158379999999
508 EAST 184TH STREET                    ,40.8551732,-73.8914827
CLAREMONT PARKWAY                        ,40.8376695,-73.8999576
