ADDRESS,ZIP CODE,lat,lng
8665 15TH   AVENUE                       ,11228,40.609988,-74.01058100000002
71 BAY 10TH   STREET                     ,11228,40.609437,-74.00997
68 BAY 14TH STREET                       ,11214,40.607914,-74.007297
8620 19TH   AVENUE                       ,11214,40.605623,-74.00115799999999
8668 19TH AVENUE                         ,11214,40.604762,-74.002052
50 BAY 23RD STREET                       ,11214,40.60412700000001,-74.000292
160 BAY 10TH STREET                      ,11228,40.607979,-74.012231
1731 BATH AVENUE                         ,11214,40.604749,-74.00720299999999
1729 BATH AVENUE                         ,11214,40.604781,-74.00725899999999
8739 BAY 16TH STREET                     ,11214,40.605233,-74.0067849
8733 BAY 16TH   STREET                   ,11214,40.605287,-74.00672899999999
115 BAY 17TH STREET                      ,11214,40.60514999999999,-74.005695
8716 18TH   AVENUE                       ,11214,40.6050745,-74.00518129999999
96 BAY 25TH STREET                       ,11214,40.6022729,-73.999771
244 BAY 8TH STREET                       ,11228,40.6071427,-74.01539509999999
231 BAY 7TH STREET                       ,11228,40.607536,-74.015541
239 BAY8TH STREET                        ,11228,40.606975,-74.014973
8801 15TH AVENUE                         ,11228,40.607112,-74.01356299999999
239 BAY 11TH STREET                      ,11228,40.605674,-74.012754
8804 17TH AVENUE                         ,11214,40.6046371,-74.0093455
1942 BATH AVENUE                         ,11214,40.601781,-74.00274999999999
2018 BATH AVENUE                         ,11214,40.600954,-74.00121399999999
2106 BATH AVENUE                         ,11214,40.5997209,-73.9993767
2110 BATH AVENUE                         ,11214,40.5996314,-73.9993089
2156 BATH AVENUE                         ,11214,40.598718,-73.99806199999999
8886 15TH   AVENUE                       ,11228,40.605829,-74.01569099999999
8855 15TH AVENUE                         ,11228,40.606125,-74.014623
310 BAY 10TH STREET                      ,11228,40.604956,-74.015394
8870 16TH AVENUE                         ,11214,40.604766,-74.0131679
1592 INDEPENDENCE AVENUE                 ,11228,40.603693,-74.014162
277 BAY 14 STREET                        ,11214,40.603319,-74.01131199999999
1173 SHORE PARKWAY                       ,11214,40.602586,-74.01276299999999
312 BAY 13 STREET                        ,11214,40.603448,-74.013052
1127 SHORE PARKWAY                       ,11214,40.602905,-74.0140119
8836 BAY 16TH STREET                     ,11214,40.6034549,-74.009317
8894 18TH AVENUE                         ,11214,40.601539,-74.008956
