ADDRESS,ZIP CODE,lat,lng
189 EAST 7TH   STREET                    ,10009,40.7249089,-73.98050289999999
264 EAST 7TH STREET                      ,10009,40.7232798,-73.9775683
326 EAST 4TH   STREET                    ,10009,40.72166300000001,-73.979298
328 EAST 4TH   STREET                    ,10009,40.721631,-73.979227
112 AVENUE C                             ,10009,40.7241996,-73.9783784
21 AVENUE B                              ,10009,40.7221008,-73.983154
620 EAST 6TH   STREET                    ,10009,40.723903,-73.980852
620-622 EAST 6TH   STREET                ,10009,40.723903,-73.980852
615 EAST 6TH   STREET                    ,10009,40.724284,-73.980605
315 EAST 8TH STREET                      ,10009,40.7253828,-73.9796411
190 EAST 2ND   STREET                    ,10009,40.7224092,-73.9840517
528 EAST 5TH STREET                      ,10009,40.724171,-73.9832006
205 EAST 4TH   STREET                    ,10009,40.724032,-73.983745
193 EAST 4TH   STREET                    ,10009,40.7242235,-73.9842503
510 EAST 6TH   STREET                    ,10009,40.724957,-73.983335
534 EAST 6TH   STREET                    ,10009,40.7246101,-73.9824285
329 EAST 10TH   STREET                   ,10009,40.727354,-73.980532
510 EAST 12TH   STREET                   ,10009,40.728591,-73.980756
514 EAST 12TH   STREET                   ,10009,40.7285833,-73.9805658
194 AVENUE A                             ,10009,40.7290753,-73.9810444
"327 EAST 3RD   STREET, 3E                ",10009,40.7208255,-73.97830739999999
"317 EAST 3RD STREET, 9                   ",10009,40.721151,-73.97880099999999
"311 EAST 3RD STREET, 24                  ",10009,40.721216,-73.97895299999999
"252 EAST 7TH STREET, 21/22               ",10009,40.723465,-73.9780352
"254 EAST 7TH STREET, 18                  ",10009,40.7234098,-73.9778733
"254 7TH STREET, 21                       ",10009,40.7234098,-73.9778733
"249 EAST 7TH STREET, 18                  ",10009,40.7238773,-73.9778755
"268 EAST 4TH STREET, 4AB                 ",10009,40.7225856,-73.9815187
"610 EAST 5TH STREET, 3                   ",10009,40.723418,-73.98157499999999
"55 AVENUE C, 9                           ",10009,40.7225826,-73.9802076
"95 AVENUE B, FL 3                        ",10009,40.7245173,-73.981301
"198 EAST 7TH STREET, 2                   ",10009,40.724503,-73.980442
"204 EAST 7 STREET, 14                    ",10009,40.724401,-73.980205
"206 EAST 7 STREET, 1                     ",10009,40.72437,-73.980125
"625 EAST 6TH STREET, 1B                  ",10009,40.724118,-73.98020199999999
"621 EAST 6TH   STREET, 3                 ",10009,40.724181,-73.98036499999999
"613 E 6TH ST, 5A                         ",10009,40.724317,-73.980683
"219 EAST 7TH STREET, 15                  ",10009,40.724524,-73.979336
"131 AVENUE B, G                          ",10009,40.725847,-73.980322
"626 EAST 9TH ST, 3FW                     ",10009,40.7275043,-73.9800645
"626 EAST 9TH STREET, 3FW                 ",10009,40.7275043,-73.9800645
"626 EAST 9TH STREET, 4R                  ",10009,40.725584,-73.97927299999999
"323 EAST 8TH STREET, 2C/D                ",10009,40.725325,-73.97936399999999
"149 AVENUE C, 2F                         ",10009,40.7256345,-73.97813080000002
"633 E. 11TH ST, 17                       ",10009,40.727011,-73.977794
"633 EAST 11TH STREET, 22                 ",10009,40.727011,-73.977794
"633 EAST 11TH   STREET, 16               ",10009,40.727011,-73.977794
"633 E. 11TH STREET, 7                    ",10009,40.727011,-73.977794
"634 EAST 14TH STREET, 19                 ",10009,40.7285626,-73.9766276
"632 EAST 14TH STREET, 19                 ",10009,40.7286844,-73.9766501
"630 EAST 14TH   STREET, 4                ",10009,40.728653,-73.97678700000002
"636 EAST 14TH STREET, 17                 ",10009,40.7286137,-73.9764757
"628 EAST 14TH   STREET, 5                ",10009,40.7287505,-73.97681419999999
"626 EAST 14TH   STREET, 16               ",10009,40.728582,-73.97678499999999
"223-225 EAST 4TH STREET, 3-4             ",10009,40.7237496,-73.9831131
"546 EAST 11TH STREET, 1A                 ",10009,40.727418,-73.979961
"311 EAST 10TH STREET, 5B                 ",10009,40.727658,-73.98124299999999
"524 EAST 13TH   STREET, A4               ",10009,40.729022,-73.979822
"529 EAST 12TH STREET, C1                 ",10009,40.728607,-73.97992769999999
"529 EAST 12TH STREET, C3                 ",10009,40.728607,-73.97992769999999
"527 EAST 12TH STREET, B8                 ",10009,40.728723,-73.9798859
"507 EAST 12TH STREET, 5B                 ",10009,40.7290188,-73.98075089999999
"507 EAST 12TH STREET, 5A                 ",10009,40.7290188,-73.98075089999999
"533 EAST 13TH STREET, GB                 ",10009,40.7275043,-73.9800645
"226 EAST 2ND STREET, 5B                  ",10009,40.7217105,-73.9824687
"226 EAST 2ND STREET, 1D                  ",10009,40.7217105,-73.9824687
"226 EAST 2ND STREET, 5C                  ",10009,40.7217105,-73.9824687
"223 EAST 3RD STREET, 1-B                 ",10009,40.72246699999999,-73.981917
"223-225 EAST 3 STREET, 2B                ",10009,40.646392,-73.97769
"223 EAST 3RD STREET, 6A                  ",10009,40.72246699999999,-73.981917
"160 EAST 3RD STREET, 5I                  ",10009,40.7232198,-73.9844969
211 EAST 3RD STREET                      ,10009,40.7225501,-73.9824324
615 EAST 11TH   STREET                   ,10009,40.7272339,-73.9785594
182 EAST 2ND   STREET                    ,10009,40.722735,-73.98434999999999
178 EAST 2ND STREET                      ,10009,40.7226351,-73.9844267
511 EAST 11TH   STREET                   ,10009,40.7283099,-73.9810923
212 AVENUE B                             ,10009,40.7286618,-73.97877989999999
509 EAST 13TH   STREET                   ,10009,40.72946,-73.9802219
324 EAST 4TH   STREET                    ,10009,40.72169299999999,-73.97936899999999
754 EAST 6TH   STREET                    ,10009,40.7223688,-73.9773329
310 EAST HOUSTON STREET                  ,10002,40.7213743,-73.9829466
143 AVENUE B                             ,10009,40.726375,-73.97998299999999
631 EAST 9TH   STREET                    ,10009,40.725869,-73.97880599999999
189 AVENUE C                             ,10009,40.7270107,-73.9769166
525 EAST 11TH   STREET                   ,10009,40.728209,-73.9804769
536 EAST 13TH   STREET                   ,10009,40.7290717,-73.9793278
196 AVENUE A                             ,10009,40.7291552,-73.9810171
505 EAST 12TH   STREET                   ,10009,40.7290225,-73.980856
503 EAST 12TH   STREET                   ,10009,40.7290525,-73.9809202
296 EAST 2ND   STREET                    ,10009,40.720588,-73.979395
296 EAST 2ND STREET                      ,10009,40.720588,-73.979395
753 EAST 5TH   STREET                    ,10009,40.7220438,-73.977527
259 EAST 7TH STREET                      ,10009,40.723717,-73.9775105
259 EAST 7TH   STREET                    ,10009,40.723717,-73.9775105
277 EAST 7TH   STREET                    ,10009,40.7233085,-73.9769737
235 EAST 2ND   STREET                    ,10009,40.721311,-73.982296
67 AVENUE C                              ,10009,40.72283400000001,-73.980098
227 EAST 7TH   STREET                    ,10009,40.724411,-73.979075
645 EAST 11TH   STREET                   ,10009,40.7267578,-73.9774611
643 EAST 11TH   STREET                   ,10009,40.7268908,-73.9775009
643 EAST 11TH STREET                     ,10009,40.7268908,-73.9775009
509 EAST 6TH STREET                      ,10009,40.725376,-73.983178
509 EAST 6TH   STREET                    ,10009,40.725376,-73.983178
549 EAST 11 STREET                       ,10009,40.7277661,-73.97978499999999
342 EAST 8TH   STREET                    ,10009,40.7247368,-73.9789024
"342 EAST 8TH   STREET, RES               ",10009,40.7247368,-73.9789024
"50 AVENUE A, 6B                          ",10009,40.723804,-73.984864
"214 AVENUE A, 1D/1E                      ",10009,40.7298573,-73.980498
"214 AVENUE A, 2E&3E                      ",10009,40.7275043,-73.9800645
42 AVENUE C                              ,10009,40.721948,-73.980032
298 EAST 2ND   STREET                    ,10009,40.72051159999999,-73.97931679999999
EAST 7TH   STREET                        ,0,40.7288867,-73.9903593
611 EAST 6TH   STREET                    ,10009,40.7243489,-73.980762
644-652 EAST 14TH STREET                 ,10009,40.728615,-73.9761201
224 WEST 22ND   STREET                   ,10011,40.74360799999999,-73.99716599999999
259 WEST 22ND STREET                     ,10011,40.744359,-73.997749
331 WEST 18TH   STREET                   ,10011,40.74302,-74.00195099999999
347 WEST 21ST STREET                     ,10011,40.745081,-74.00136499999999
213 WEST 22ND   STREET                   ,10011,40.74380300000001,-73.99649800000002
326 WEST 20TH                            ,10011,40.74381959999999,-74.0012012
348 WEST 20TH STREET                     ,10011,40.744118,-74.002055
138 WEST 18TH   STREET                   ,10011,40.7403491,-73.9967087
454 WEST 22ND   STREET                   ,10011,40.7464045,-74.0037299
456 WEST 22ND   STREET                   ,10011,40.746428,-74.00379099999999
441 WEST 22ND STREET                     ,10011,40.746573,-74.002956
431 WEST 22ND   STREET                   ,10011,40.7464439,-74.002646
466 WEST 23RD   STREET                   ,10011,40.747318,-74.003998
244 10TH   AVENUE                        ,10001,40.7484211,-74.0033347
246 10TH   AVENUE                        ,10001,40.7484846,-74.0033127
248 10TH   AVENUE                        ,10001,40.748505,-74.003165
449 WEST 24TH STREET                     ,10011,40.748194,-74.002712
320 WEST 15TH STREET                     ,10011,40.7406549,-74.003049
340 WEST 15TH STREET                     ,10011,40.740934,-74.00371
303 WEST 18TH STREET                     ,10011,40.7425574,-74.0010786
306 WEST 19TH STREET                     ,10011,40.7429235,-74.00091119999999
328 WEST 19TH   STREET                   ,10011,40.743197,-74.00168699999999
341 WEST 19TH   STREET                   ,10011,40.743665,-74.001764
339 WEST 19TH   STREET                   ,10011,40.743637,-74.001695
334 WEST 20TH   STREET                   ,10011,40.743858,-74.00143899999999
354 WEST 20TH STREET                     ,10011,40.744183,-74.002212
308 WEST 21ST   STREET                   ,10011,40.744131,-74.00026900000002
310 WEST 21ST   STREET                   ,10011,40.7442442,-74.0002248
348 WEST 21ST   STREET                   ,10011,40.7447609,-74.001694
306 WEST 22ND STREET                     ,10011,40.744651,-73.999612
310 WEST 22ND   STREET                   ,10011,40.7447019,-73.999737
348 WEST 22ND STREET                     ,10011,40.745263,-74.00106
326 WEST 23RD   STREET                   ,10011,40.74547099999999,-73.999642
348 WEST 23RD   STREET                   ,10011,40.745835,-74.000502
343 WEST 29TH STREET                     ,10001,40.75003299999999,-73.997479
313 WEST 29TH   STREET                   ,10001,40.74959399999999,-73.99643999999999
309 WEST 29TH   STREET                   ,10001,40.749534,-73.996301
307 WEST 29TH   STREET                   ,10001,40.7495059,-73.996231
217 WEST 15TH STREET                     ,10011,40.739797,-73.99987999999999
116 7 AVENUE                             ,10011,40.7404409,-73.998634
204 WEST 17TH   STREET                   ,10011,40.740497,-73.99876
152 7 AVENUE                             ,10011,40.741859,-73.997653
288 8TH AVENUE                           ,10001,40.7462078,-73.9975094
119 WEST 15TH   STREET                   ,10011,40.73863,-73.9971149
117 WEST 15TH   STREET                   ,10011,40.7385842,-73.9970211
142 WEST 19TH STREET                     ,10011,40.741056,-73.99660399999999
793 SIXTH AVENUE                         ,10001,40.7454061,-73.9912447
551 WEST 21ST   STREET                   ,10011,40.7474317,-74.0071717
434-436 WEST 19TH STREET                 ,10011,40.7445849,-74.0048161
416 WEST 23RD   STREET                   ,10011,40.746559,-74.00219799999999
412 WEST 25TH   STREET                   ,10001,40.74791800000001,-74.00131999999999
330 WEST 30TH STREET                     ,10001,40.7501186,-73.9970059
370 WEST 30TH STREET                     ,10001,40.750595,-73.9979318
232-262 WEST 19TH STREET                 ,10011,40.7421388,-73.9986406
258 WEST 22ND   STREET                   ,10011,40.744082,-73.99828699999999
229 7 AVENUE                             ,10011,40.7442871,-73.9951068
"434 WEST 20TH STREET, 4/5                ",10011,40.745101,-74.004464
"427 WEST 21ST STREET, PLR                ",10011,40.7464969,-74.0094471
"409 WEST 21ST STREET, 3                  ",10011,40.745646,-74.002729
"403 WEST 21ST STREET, 3W                 ",10011,40.7455343,-74.0025646
"467 WEST 22ND STREET, D                  ",10011,40.746859,-74.003637
"467 WEST 22ND STREET, F                  ",10011,40.746859,-74.003637
"453 WEST 22ND STREET, 1R                 ",10011,40.7467169,-74.00330199999999
"451 WEST 22ND STREET, 2R                 ",10011,40.7467122,-74.0033373
"419 WEST 22ND STREET, 1                  ",10011,40.746303,-74.002315
"430 WEST 23RD STREET, E                  ",10011,40.746771,-74.002703
430 W 23RD                               ,10011,40.746771,-74.002703
"434 WEST 23RD STREET, A                  ",10011,40.746811,-74.002797
"450 WEST 23RD   STREET, D                ",10011,40.747079,-74.00343200000002
"456 WEST 23RD STREET, 3F                 ",10011,40.7472271,-74.0036372
"458 WEST 23RD   STREET, 3B/4B            ",10011,40.74719899999999,-74.003722
"460 WEST 23RD   STREET, 3A               ",10011,40.7472958,-74.00378169999999
"460 WEST 23RD   STREET, BR               ",10011,40.7472958,-74.00378169999999
"408 WEST 25TH STREET, 4FW                ",10001,40.75368539999999,-73.9991637
"410 WEST 25TH STREET, 3A                 ",10001,40.7478679,-74.001201
"321 WEST 14TH STREET, ROOF               ",10014,40.7366138,-74.0094471
"328 WEST 17TH   STREET, 1R               ",10011,40.7420329,-74.0024802
"330 WEST 17TH STREET, 5E                 ",10011,40.742027,-74.00255
"332 WEST 17TH STREET, 3R                 ",10011,40.742062,-74.002628
"334 WEST 17TH  STREET, 1W                ",10011,40.7420959,-74.002707
"310 WEST 18TH STREET, 4B                 ",10011,40.742316,-74.0014209
"314 WEST 19TH STREET, 4A                 ",10011,40.7429981,-74.0011722
"340 WEST 19TH ST, 25                     ",10011,40.743389,-74.002138
"340 WEST 19TH STREET, 16                 ",10011,40.743389,-74.002138
"340 WEST 19TH STREET, 9/10               ",10011,40.743389,-74.002138
"365 WEST 19TH STREET, 3R                 ",10011,40.7439294,-74.0026407
"360 WEST 21ST STREET, 3K                 ",10011,40.74488300000001,-74.00216689999999
"360 WEST 21ST STREET, 4A                 ",10011,40.74488300000001,-74.00216689999999
"337 WEST 20TH STREET, 1B                 ",10011,40.744317,-74.001402
"311 WEST 20TH STREET, 1                  ",10011,40.7438486,-74.0005424
"309 WEST 20TH STREET, 6F                 ",10011,40.7438072,-74.0004577
307 W 20TH                               ,10011,40.7437858,-74.0003859
"309 WEST 20TH STREET, 8F                 ",10011,40.7438072,-74.0004577
"361 WEST 21ST STREET, 2F                 ",10011,40.7451833,-74.00193870000001
"345 WEST 21ST STREET, 2C                 ",10011,40.74505,-74.00129299999999
"333 WEST 21ST STREET, 1FE                ",10011,40.7464969,-74.0094471
"333 WEST 21ST STREET, 1RW                ",10011,40.7464969,-74.0094471
"331 WEST 21ST STREET, FW                 ",10011,40.7464969,-74.0094471
"325 WEST 21ST   STREET, 6                ",10011,40.744753,-74.000586
"325 WEST 21ST STREET, 19                 ",10011,40.744753,-74.000586
"334 WEST 22ND STREET, 8                  ",10011,40.745073,-74.000615
"347 WEST 22ND STREET, 4                  ",10011,40.745619,-74.00072999999999
"354 WEST 23RD STREET, 1A                 ",10011,40.745931,-74.000734
"354 WEST 23RD STREET, GC                 ",10011,40.7464969,-74.0094471
"356 WEST 23RD STREET, 3A                 ",10011,40.7460239,-74.0007913
"356 WEST 23RD   STREET, 1BC              ",10011,40.7464969,-74.0094471
"214 WEST 16TH STREET, 4S                 ",10011,40.740056,-73.999723
