ADDRESS,ZIP CODE,lat,lng
181-25 EASTERN ROAD                      ,11430,40.6733185,-73.9676822
21-16 81ST   STREET                      ,11370,40.77034099999999,-73.8892709
21-21 80TH   STREET                      ,11370,40.770168,-73.889597
19-08 81ST   STREET                      ,11370,40.77273599999999,-73.889595
19-77 80TH STREET                        ,11370,40.771062,-73.889736
19-63 80TH STREET                        ,11370,40.771448,-73.889808
21-66 81ST STREET                        ,11370,40.769106,-73.889042
303 BEACH 38TH STREET                    ,11691,40.5946918,-73.7705995
341 BEACH 40TH STREET                    ,11691,40.59547329999999,-73.77232699999999
319 BEACH 40 STREET                      ,11691,40.59458,-73.7721724
331 BEACH 41ST STREET                    ,11691,40.594958,-73.773201
334 BEACH 46 STREET                      ,11691,40.594521,-73.777012
334 BEACH 47 STREET                      ,11691,40.5944543,-73.7779669
40-01 ROCKAWAY BEACH BLVD                ,11691,40.59396,-73.772043
64-14 BEACH FRONT ROAD                   ,11692,40.5869725,-73.7999002
62-13 OCEAN AVENUE SOUTH                 ,11692,40.6615942,-73.96301079999999
123 BEACH 62 STREET                      ,11692,40.5900826,-73.791225
63-07 OCEAN AVENUE NORTH                 ,11692,40.6615467,-73.9629652
66-14 BEACH FRONT ROAD                   ,11692,40.5869725,-73.7999002
311 BEACH 63RD STREET                    ,11692,40.592128,-73.79253000000001
317 BEACH 66 STREET                      ,11692,40.5918,-73.795363
346 BEACH 69TH STREET                    ,11692,40.5921663,-73.7978986
424 BEACH 38 STREET                      ,11691,40.596786,-73.77052200000001
593 BEACH 43RD STREET                    ,11691,40.601228,-73.77566999999999
589 BEACH 43 STREET                      ,11691,40.601118,-73.77570899999999
44-02 NORTON AVENUE                      ,11691,40.599105,-73.776231
448 BEACH 44 STREET                      ,11691,40.5970995,-73.7757586
417 BEACH 43 STREET                      ,11691,40.596281,-73.774968
462 BEACH 45 STREET                      ,11691,40.5974075,-73.7766336
378 BEACH 46 STREET                      ,11691,40.595733,-73.777148
456 BEACH 46 STREET                      ,11691,40.5971859,-73.77736519999999
426 BEACH 47 STREET                      ,11691,40.5962876,-73.77817879999999
471 BEACH 46TH STREET                    ,11691,40.5975332,-73.7778484
447 BEACH 46 STREET                      ,11691,40.59696479999999,-73.77758419999999
65-39 BAYFIELD AVENUE                    ,11692,40.59884599999999,-73.796425
626 BEACH 66                             ,11692,40.597766,-73.795333
602 BEACH 69 STREET                      ,11692,40.597068,-73.79819599999999
