Address,lat,lng
8665 15TH   AVENUE                       ,40.609988,-74.01058100000002
71 BAY 10TH   STREET                     ,40.609437,-74.00997
68 BAY 14TH STREET                       ,40.607914,-74.007297
8620 19TH   AVENUE                       ,40.605623,-74.00115799999999
8668 19TH AVENUE                         ,40.604762,-74.002052
50 BAY 23RD STREET                       ,40.60412700000001,-74.000292
160 BAY 10TH STREET                      ,40.607979,-74.012231
1731 BATH AVENUE                         ,40.604741,-74.00723839999999
1729 BATH AVENUE                         ,40.6047697,-74.0072856
8739 BAY 16TH STREET                     ,40.605233,-74.0067849
8733 BAY 16TH   STREET                   ,40.605287,-74.00672899999999
115 BAY 17TH STREET                      ,40.6052123,-74.0057045
8716 18TH   AVENUE                       ,40.6050745,-74.00518129999999
96 BAY 25TH STREET                       ,40.6022821,-73.99979259999999
244 BAY 8TH STREET                       ,40.6071427,-74.01539509999999
231 BAY 7TH STREET                       ,40.607536,-74.015541
239 BAY8TH STREET                        ,40.6070033,-74.0150218
8801 15TH AVENUE                         ,40.6071693,-74.01366589999999
239 BAY 11TH STREET                      ,40.605674,-74.012754
8804 17TH AVENUE                         ,40.6046372,-74.0093447
1942 BATH AVENUE                         ,40.601781,-74.00274999999999
2018 BATH AVENUE                         ,40.6009764,-74.00120199999999
2106 BATH AVENUE                         ,40.5997362,-73.99935839999999
2110 BATH AVENUE                         ,40.599669,-73.9992676
2156 BATH AVENUE                         ,40.598718,-73.99806199999999
8886 15TH   AVENUE                       ,40.605829,-74.01569099999999
8855 15TH AVENUE                         ,40.606125,-74.014623
310 BAY 10TH STREET                      ,40.6049301,-74.0153444
8870 16TH AVENUE                         ,40.604766,-74.0131679
1592 INDEPENDENCE AVENUE                 ,40.603693,-74.014162
277 BAY 14 STREET                        ,40.603319,-74.01131199999999
1173 SHORE PARKWAY                       ,40.602586,-74.01276299999999
312 BAY 13 STREET                        ,40.6034583,-74.01299259999999
1127 SHORE PARKWAY                       ,40.602905,-74.0140119
8836 BAY 16TH STREET                     ,40.6034549,-74.009317
8894 18TH AVENUE                         ,40.601539,-74.008956
8878 19TH AVENUE                         ,40.600573,-74.006404
248 BAY 23RD   STREET                    ,40.600052,-74.00444
38 BAY 7TH   STREET                      ,40.6116529,-74.011983
70 BAY 7TH STREET                        ,40.611071,-74.012587
81 BAY 7TH STREET                        ,40.610588,-74.012361
37 BAY 7 STREET                          ,40.611376,-74.011561
17 BAY 7TH   STREET                      ,40.6117459,-74.011184
1444 86TH   STREET                       ,40.611866,-74.01079399999999
44 BAY 8TH   STREET                      ,40.611144,-74.0113253
13 BAY 8TH STREET                        ,40.611364,-74.010406
13 BAY 8TH ST                            ,40.611364,-74.010406
1508 86TH   STREET                       ,40.611038,-74.009507
34 BAY 10TH   STREET                     ,40.61037899999999,-74.00973499999999
40 BAY 10TH   STREET                     ,40.61027500000001,-74.009841
37 BAY 10TH STREET                       ,40.61004399999999,-74.009351
44 BAY 11TH   STREET                     ,40.60977099999999,-74.00918399999999
50 BAY 11TH   STREET                     ,40.609666,-74.009293
8653 16TH AVENUE                         ,40.608839,-74.00816499999999
43 BAY 13TH STREET                       ,40.6085742,-74.0072502
18 BAY 14TH   STREET                     ,40.608827,-74.006343
38 BAY 14TH STREET                       ,40.608477,-74.006708
8659 17TH AVENUE                         ,40.607234,-74.005844
8633 BAY 16TH                            ,40.607276,-74.0046459
8633 BAY 16TH STREET                     ,40.607276,-74.0046459
64 BAY 17TH STREET                       ,40.606597,-74.004909
75 BAY 17TH STREET                       ,40.6061048,-74.00475410000001
24 BAY 20TH   STREET                     ,40.6060115,-74.0019039
8644 20TH   AVENUE                       ,40.6039785,-73.999273
8674 20TH   AVENUE                       ,40.6033368,-73.99994579999999
36 BAY 26TH STREET                       ,40.603113,-73.997754
18 BAY 28TH   STREET                     ,40.6025389,-73.9959216
55 BAY 29TH ST.                          ,40.6012178,-73.9954987
8765 14TH AVENUE                         ,40.6093941,-74.014881
112 BAY 8TH STREET                       ,40.609717,-74.012816
85 BAY 8TH   STREET                      ,40.609912,-74.01189699999999
8755 15TH   AVENUE                       ,40.60818099999999,-74.01244600000001
8699 15TH AVENUE                         ,40.609187,-74.011397
8685 15TH AVE                            ,40.609448,-74.011124
109 BAY 10TH STREET                      ,40.608598,-74.01086099999999
107 BAY 10TH STREET                      ,40.608642,-74.01081599999999
94 BAY 11TH                              ,40.608699,-74.0102689
