,ADDRESS,ADPARCEL_,ADPARCEL_I,ADR_ID,AD_STREET,AD_SUFFIX,ANGLE,AREA,CITY_ID,CODE,DATE_ENTER,LAT,LON,PERIMETER,POLYGONID,SCALE,SOURCE,STATUS,STREET,STREET_DIR,STREET_IDX,STREET_NAM,STREET_NO,SUFFIX_DIR,TILE_NAME,X_HPGN,Y_HPGN,ZIPCITY,ZIPCODE,geometry,SequenceNum,SaleDate,SalePrice,PropertyType,IntendedUse,Deed,Financing,ValidationDescription,BuyerSellerRelated,Solar,PersonalProperty,PartialInterest,RecordingDate
10120025B,5141 N CASA GRANDE HY,103086.0,296800.0,295994.0,CASA GRANDE,HY,0.0,0.0,TUC,0.0,2000-02-19,32.3003981398,-111.036921911,0.0,103086.0,1.0,PC DSD GIS,P,N CASA GRANDE HY,N,CASA,CASA GRANDE HY,5141.0,,E131317,971820.0,474129.0,TUCSON,85743,POINT (-111.0369219114425 32.30039813984876),20150300427,201501,400000,Commercial/Industrial,Unknown,Warranty Deed,Other,Good Sale,No,No,No,No,2015-01-30
101211280,5201 N GRACIOUS CT,102090.0,297808.0,296996.0,GRACIOUS,CT,0.0,0.0,TUC,0.0,2008-01-09,32.3016940274,-111.049413151,0.0,102090.0,1.0,PC DSD GIS,P,N GRACIOUS CT,N,GRACI,GRACIOUS CT,5201.0,,E131318,967956.0,474569.0,TUCSON,85745,POINT (-111.0494131513237 32.30169402743721),20151200888,201503,299950,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-04-30
101211330,5111 N GRACIOUS CT,103906.0,295971.0,295165.0,GRACIOUS,CT,0.0,0.0,TUC,0.0,2008-01-09,32.2996256563,-111.049986065,0.0,103906.0,1.0,PC DSD GIS,P,N GRACIOUS CT,N,GRACI,GRACIOUS CT,5111.0,,E131318,967785.0,473815.0,TUCSON,85745,POINT (-111.0499860654241 32.29962565636905),20152940429,201508,361130,Single Family,PrimaryRes,Warranty Deed,Other,Improvements not yet on assessment roll,No,No,No,No,2015-10-21
101211350,5120 N GRACIOUS CT,103781.0,296100.0,295296.0,GRACIOUS,CT,0.0,0.0,TUC,0.0,2008-01-09,32.2997518421,-111.04932323,0.0,103781.0,1.0,PC DSD GIS,P,N GRACIOUS CT,N,GRACI,GRACIOUS CT,5120.0,,E131318,967990.0,473862.0,TUCSON,85745,POINT (-111.0493232302057 32.29975184215241),20153450497,201511,299900,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-12-11
101211360,5130 N GRACIOUS CT,103539.0,296345.0,295539.0,GRACIOUS,CT,0.0,0.0,TUC,0.0,2008-01-09,32.3000469547,-111.049280571,0.0,103539.0,1.0,PC DSD GIS,P,N GRACIOUS CT,N,GRACI,GRACIOUS CT,5130.0,,E131318,968002.0,473970.0,TUCSON,85745,POINT (-111.0492805709184 32.30004695477103),20151810834,201504,357222,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-06-30
101211390,5160 N GRACIOUS CT,102733.0,297158.0,296351.0,GRACIOUS,CT,0.0,0.0,TUC,0.0,2008-01-09,32.3008751832,-111.049329723,0.0,102733.0,1.0,PC DSD GIS,P,N GRACIOUS CT,N,GRACI,GRACIOUS CT,5160.0,,E131318,967984.0,474271.0,TUCSON,85745,POINT (-111.0493297233793 32.30087518329179),20151170661,201503,345000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-04-27
101211430,5013 N WILD LIFE DR,105035.0,294835.0,294022.0,WILD LIFE,DR,0.0,0.0,TUC,0.0,2008-01-09,32.2983956118,-111.04923926,0.0,105035.0,1.0,PC DSD GIS,P,N WILD LIFE DR,N,WILD,WILD LIFE DR,5013.0,,E131318,968020.0,473369.0,TUCSON,85745,POINT (-111.0492392595379 32.29839561186189),20153640604,201510,392300,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-12-30
101233610,3659 W COURTNEY CROSSING LN,88828.0,311297.0,310419.0,COURTNEY CROSSING,LN,0.0,0.0,TUC,0.0,2000-02-19,32.318342047,-111.043437788,0.0,88828.0,1.0,PC DSD GIS,P,W COURTNEY CROSSING LN,W,COURT,COURTNEY CROSSING LN,3659.0,,E131308,969753.0,480640.0,TUCSON,85741,POINT (-111.0434377881651 32.31834204712359),20152260206,201508,139900,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-08-14
101233860,3514 W ETHAN CROSSING LN,87666.0,312471.0,311594.0,ETHAN CROSSING,LN,0.0,0.0,TUC,0.0,2000-02-19,32.3195398108,-111.040475505,0.0,87666.0,1.0,PC DSD GIS,P,W ETHAN CROSSING LN,W,ETHAN,ETHAN CROSSING LN,3514.0,,E131308,970665.0,481083.0,TUCSON,85741,POINT (-111.0404755045816 32.31953981092843),20150750067,201502,165000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-03-16
101233870,3521 W ETHAN CROSSING LN,88121.0,312007.0,311130.0,ETHAN CROSSING,LN,0.0,0.0,TUC,0.0,2000-02-19,32.3190353309,-111.040661232,0.0,88121.0,1.0,PC DSD GIS,P,W ETHAN CROSSING LN,W,ETHAN,ETHAN CROSSING LN,3521.0,,E131308,970609.0,480899.0,TUCSON,85741,POINT (-111.0406612323945 32.31903533101527),20153030799,201508,166000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-10-30
